Region,Source,ZoneSubzone,SS_NoSpace,SiteSeriesName,Standard,StockingTarget,StockingMINpa,StockingMINp,StockingDelay,AssessmentEarliest,AssessmentLatest
Pr Rupert,BWBS2012,BWBSdk,BWBSdk/102,Pl - Kinnikinnick - Lingonberry,1043874,1000,500,400,7,20,20
Pr Rupert,BWBS2012,BWBSdk,BWBSdk/110,Sw - Currant - Horsetail,1043877,1000,500,400,4,20,20
Pr Rupert,BWBS2012,BWBSdk,BWBSdk/111,Sw - Mountain alder - Horsetail,1043878,1000,500,400,4,20,20
Pr Rupert,BWBS2012,BWBSdk,BWBSdk/101,Sw - Soopolallie - Step moss,1043873,1200,700,600,7,20,20
Pr Rupert,BWBS2012,BWBSdk,BWBSdk/103,SwPl - Soopolallie - Toad-flax,1043875,1200,700,600,7,20,20
Pr Rupert,BWBS2012,BWBSdk,BWBSdk/104,Sb - Labrador tea - Step moss,1043876,1200,700,600,7,20,20
Pr George,BWBS2012,BWBSdk,BWBSdk/102,Pl - Kinnikinnick - Lingonberry,1043874,1000,500,400,7,20,20
Pr George,BWBS2012,BWBSdk,BWBSdk/110,Sw - Currant - Horsetail,1043877,1000,500,400,4,20,20
Pr George,BWBS2012,BWBSdk,BWBSdk/111,Sw - Mountain alder - Horsetail,1043878,1000,500,400,4,20,20
Pr George,BWBS2012,BWBSdk,BWBSdk/101,Sw - Soopolallie - Step moss,1043873,1200,700,600,7,20,20
Pr George,BWBS2012,BWBSdk,BWBSdk/103,SwPl - Soopolallie - Toad-flax,1043875,1200,700,600,7,20,20
Pr George,BWBS2012,BWBSdk,BWBSdk/104,Sb - Labrador tea - Step moss,1043876,1200,700,600,7,20,20
Pr Rupert,BWBS2012,BWBSmk,BWBSmk/102,Pl - Kinnikinnick - Lingonberry,1043885,1000,500,400,7,20,20
Pr Rupert,BWBS2012,BWBSmk,BWBSmk/110,Sw - Currant - Horsetail,1043888,1000,500,400,4,20,20
Pr Rupert,BWBS2012,BWBSmk,BWBSmk/111,Sw - Mountain alder - Horsetail,1043889,1000,500,400,4,20,20
Pr Rupert,BWBS2012,BWBSmk,BWBSmk/101,Sw - Lingonberry - Step moss,1043881,1200,700,600,4,20,20
Pr Rupert,BWBS2012,BWBSmk,BWBSmk/103,SwPl - Soopolallie - Fuzzy-spiked wildrye,1043886,1200,700,600,7,20,20
